STT,Mã số tuyến,Tên đầy đủ theo EBMS,Điểm đầu tuyến,Điểm cuối tuyến,Giờ mở tuyến,Giờ đóng tuyến,Chiều dài theo danh mục (km),Chiều dài Lượt đi thực tế (km),Chiều dài Lượt về thực tế (km),Số trạm Lượt đi,Số trạm Lượt về,Tổng số điểm tọa độ lộ trình,Thời gian chạy lượt đi (phút),Màu sắc định dạng
1,B 04,Bến Thành - Cộng Hòa - Bến xe An Sương,Bến Thành,Bến xe An Sương,5:00,20:15,16,17.08,15.82,47,37,659,70,#E53935
2,B 13,Bến xe buýt Sài Gòn - Bến xe Củ Chi,Bến xe buýt Sài Gòn,Bến xe Củ Chi,4:00,19:45,36,37.4,36.11,80,74,1423,80,#D81B60
3,B 23,Bến xe buýt Chợ Lớn - Ngã ba Giồng - Cầu Lớn,Bến xe buýt Chợ Lớn,Cầu Lớn,4:00,20:30,23,23.15,22.94,59,59,785,75,#8E24AA
4,B 24,Bến xe Miền Đông - Hóc Môn,Bến xe Miền Đông,Hóc Môn,4:00,20:30,27,29.05,26.2,67,64,1100,75,#5E35B1
5,B 27,Bến xe buýt Sài Gòn - Âu Cơ - Bến xe An Sương,Bến xe buýt Sài Gòn,Bến xe An Sương,5:00,20:00,15,16.28,15.29,42,38,565,65,#3949AB
6,B 30,Chợ Tân Hương - Bến xe buýt Văn Thánh,Chợ Tân Hương,Bến xe buýt Văn Thánh,5:00,22:00,18,18.38,19.93,47,55,917,50,#1E88E5
7,B 33,Bến xe An Sương - Suối Tiên - Đại học Quốc gia,Bến xe An Sương,Đại học Quốc gia,4:30,22:00,25,25.59,25.04,48,52,871,60,#039BE5
8,B 41,Bến xe Miền Tây - Ngã tư Bốn Xã - Bến xe An Sương,Bến xe Miền Tây,Bến xe An Sương,5:00,19:20,22,22.86,22.22,56,53,852,60,#00ACC1
9,B 48,Bến xe buýt Tân Phú - Chợ Hiệp Thành,Bến xe buýt Tân Phú,Chợ Hiệp Thành,4:30,20:00,21,21.5,21.78,55,58,768,55,#00897B
10,B 60-1,Bến xe Miền Tây - Bến xe Biên Hòa,Bến xe Miền Tây,Bến xe Biên Hòa,4:45,18:30,62,62.67,61.44,76,75,1166,130,#43A047
11,B 61-3,Thủ Dầu Một - Bến xe An Sương,Bến xe An Sương,Thủ Dầu Một,6:00,16:30,34,31.98,31.66,53,60,980,75,#7CB342
12,B 62,Bến xe buýt Quận 8 - Thới An,Bến xe buýt Quận 8,Thới An,5:00,19:00,24,23.12,25.73,60,67,1009,85,#C0CA33
13,B 62-5,Bến xe An Sương - Bến xe Hậu Nghĩa,Bến xe An Sương,Bến xe Hậu Nghĩa,4:00,19:30,31,31.89,31.28,27,25,666,70,#FDD835
14,B 65,Bến Thành - Cách Mạng Tháng Tám - Bến xe An Sương,Bến Thành,Bến xe An Sương,4:45,20:45,16,17.73,13.85,44,33,646,70,#FFB300
15,B 70-1, Bến xe Củ Chi - Bến xe Tây Ninh,Bến xe Củ Chi,Bến xe Tây Ninh,3:00,19:00,66,67.11,67.85,15,19,586,115,#FB8C00
16,B 70-2,Bến xe Củ Chi - Tòa Thánh - Khu du lịch Núi Bà Đen,Bến xe Củ Chi,Khu du lịch Núi Bà Đen,2:55,19:00,73,69.71,70.53,15,19,649,105,#F4511E
